CB NO,RACE,SEX,AGE,STATUTE,STATUTE DESCRIPTION,ARREST DATE,ARREST TIME,ARREST BEAT,STATUTE TAG
18329980,BLK,M,39,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,1239,2311,Possess <2.5g
18329988,WHI,M,45,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,1322,2311,Possess <2.5g
18330052,BLK,M,30,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,1340,1021,Possess 2.5g-10g
18330076,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,1412,1822,Possess <2.5g
18330100,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,1500,321,Possess 2.5g-10g
18330283,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2000,1522,Possess 2.5g-10g
18330277,BLK,F,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2001,1522,Possess 2.5g-10g
18330265,WWH,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2003,1422,Possess <2.5g
18330267,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2010,332,Possess 2.5g-10g
18330291,WWH,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2015,1423,Possess 2.5g-10g
18330317,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2040,331,Possess 2.5g-10g
18330335,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2100,611,Possess 2.5g-10g
18330331,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2101,1331,Possess <2.5g
18330350,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2125,1532,Possess 2.5g-10g
18330354,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2130,934,Possess 2.5g-10g
18330372,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2146,825,Possess <2.5g
18330378,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2147,1112,Possess 2.5g-10g
18330379,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2150,623,Possess <2.5g
18330388,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2157,322,Possess 2.5g-10g
18330399,BLK,F,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2158,2422,Possess <2.5g
18330365,BLK,M,34,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2205,422,Possess 2.5g-10g
18330409,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2210,612,Possess 2.5g-10g
18330448,BLK,M,32,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2215,2222,Possess <2.5g
18330385,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2215,823,Possess 2.5g-10g
18330369,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2220,1112,Possess 2.5g-10g
18330416,BLK,M,31,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2240,1821,Possess <2.5g
18330418,WBH,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2245,424,Possess <2.5g
18330437,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Jan-12,2321,1135,Possess 2.5g-10g
18330433,BLK,F,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Jan-12,2325,2532,Possess <2.5g
18330476,WWH,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,55,2514,Possess 2.5g-10g
18330490,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,139,932,Possess <2.5g
18330503,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,156,915,Possess 2.5g-10g
18330604,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,815,2422,Possess 2.5g-10g
18330581,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,830,2422,Possess 2.5g-10g
18330585,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,831,2424,Possess <2.5g
18330670,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1100,932,Possess 2.5g-10g
18330697,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,1125,823,Possess <2.5g
18330870,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1247,711,Possess 2.5g-10g
18330756,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1315,1323,Possess 2.5g-10g
18330789,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1330,1532,Possess 2.5g-10g
18330805,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1410,432,Possess 2.5g-10g
18330879,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,1520,734,Possess <2.5g
18330886,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1545,1122,Possess 2.5g-10g
18330952,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1545,322,Possess 2.5g-10g
18330989,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1820,422,Possess 2.5g-10g
18331056,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,1927,432,Possess 2.5g-10g
18331113,BLK,M,43,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2000,832,Possess <2.5g
18331152,BLK,M,30,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2020,1114,Possess 2.5g-10g
18331109,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2022,1924,Possess <2.5g
18331107,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2025,714,Possess <2.5g
18331125,WWH,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2025,2535,Possess <2.5g
18331129,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2030,1532,Possess 2.5g-10g
18331100,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2032,1313,Possess <2.5g
18331165,BLK,F,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2040,312,Possess <2.5g
18331149,BLK,M,38,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2100,614,Possess 2.5g-10g
18331168,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2115,832,Possess 2.5g-10g
18331202,BLK,M,56,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2117,1122,Possess <2.5g
18331200,BLK,F,56,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2125,124,Possess <2.5g
18331245,BLK,F,41,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2155,631,Possess <2.5g
18331224,BLK,M,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2209,2422,Possess <2.5g
18331229,WWH,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2220,1723,Possess 2.5g-10g
18331238,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Jan-12,2230,2024,Possess <2.5g
18331244,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2240,424,Possess 2.5g-10g
18331248,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2249,1531,Possess 2.5g-10g
18331291,BLK,F,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Jan-12,2310,915,Possess 2.5g-10g
18331325,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,50,524,Possess 2.5g-10g
18331482,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,949,612,Possess 2.5g-10g
18331518,BLK,M,34,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1012,213,Possess <2.5g
18331582,WWH,F,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1118,1022,Possess <2.5g
18331583,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1206,1022,Possess <2.5g
18331614,BLK,M,29,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1230,2221,Possess <2.5g
18331640,BLK,M,39,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1235,2525,Possess <2.5g
18331609,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1248,2521,Possess <2.5g
18331636,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1320,221,Possess 2.5g-10g
18331641,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1335,811,Possess 2.5g-10g
18331711,BLK,M,36,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1400,2233,Possess 2.5g-10g
18331690,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1410,1422,Possess 2.5g-10g
18331704,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1425,1533,Possess 2.5g-10g
18331705,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1430,222,Possess 2.5g-10g
18331722,BLK,M,30,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1500,831,Possess <2.5g
18331736,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1520,624,Possess <2.5g
18331756,BLK,M,35,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1541,724,Possess 2.5g-10g
18331831,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1621,1532,Possess 2.5g-10g
18331816,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1650,511,Possess <2.5g
18331873,BLK,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1730,1111,Possess <2.5g
18331933,BLK,M,33,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1853,523,Possess 2.5g-10g
18331937,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,1910,924,Possess 2.5g-10g
18331973,WWH,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,1935,1034,Possess <2.5g
18332017,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,2010,813,Possess 2.5g-10g
18331995,BLK,M,47,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,2015,734,Possess <2.5g
18332008,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,2015,1113,Possess <2.5g
18332016,BLK,M,33,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,2025,1135,Possess 2.5g-10g
18332087,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,2121,624,Possess 2.5g-10g
18332132,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,2203,2534,Possess <2.5g
18332111,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,2210,2424,Possess <2.5g
18332150,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,2214,1123,Possess 2.5g-10g
18332183,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Feb-12,2256,1512,Possess 2.5g-10g
18332242,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,2312,911,Possess <2.5g
18332193,BLK,M,32,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Feb-12,2330,2422,Possess <2.5g
18332226,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,40,825,Possess <2.5g
18332266,BLK,M,38,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,42,523,Possess <2.5g
18332228,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,43,421,Possess 2.5g-10g
18332293,WHI,M,30,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,45,1123,Possess <2.5g
18332281,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,200,414,Possess 2.5g-10g
18332328,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,226,823,Possess <2.5g
18332506,WWH,F,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1110,1222,Possess 2.5g-10g
18332516,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1145,211,Possess 2.5g-10g
18332505,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1200,712,Possess <2.5g
18332500,BLK,M,41,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1212,422,Possess 2.5g-10g
18332515,BLK,M,38,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1230,1313,Possess <2.5g
18332535,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1237,2223,Possess 2.5g-10g
18332539,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1257,324,Possess <2.5g
18332581,BLK,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1350,1532,Possess <2.5g
18332567,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1350,2534,Possess <2.5g
18332627,BLK,M,30,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1508,321,Possess 2.5g-10g
18332683,BLK,M,36,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1532,731,Possess 2.5g-10g
18332688,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1601,2233,Possess 2.5g-10g
18332685,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1620,831,Possess <2.5g
18332827,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1909,1724,Possess <2.5g
18332873,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,1935,421,Possess <2.5g
18332878,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,1954,314,Possess 2.5g-10g
18332967,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,2034,1712,Possess <2.5g
18332975,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,2035,1712,Possess <2.5g
18332908,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2055,1412,Possess 2.5g-10g
18332970,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,2150,1132,Possess <2.5g
18332981,BLK,M,31,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,2200,421,Possess <2.5g
18332993,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2200,2422,Possess 2.5g-10g
18332966,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2210,2512,Possess 2.5g-10g
18332992,BLK,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2230,1533,Possess 2.5g-10g
18333043,BLK,M,36,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Feb-12,2231,1011,Possess <2.5g
18333002,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2250,1023,Possess 2.5g-10g
18333038,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2322,935,Possess 2.5g-10g
18333057,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Feb-12,2343,423,Possess 2.5g-10g
18333078,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,31,634,Possess 2.5g-10g
18333156,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,405,1022,Possess 2.5g-10g
18333242,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,848,1422,Possess 2.5g-10g
18333249,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,848,1422,Possess 2.5g-10g
18333244,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,905,623,Possess <2.5g
18333273,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1005,1522,Possess 2.5g-10g
18333288,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,1015,1532,Possess <2.5g
18333268,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1015,1512,Possess 2.5g-10g
18333291,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,1024,312,Possess <2.5g
18333296,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,1050,822,Possess <2.5g
18333337,WWH,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,1130,2523,Possess <2.5g
18333385,BLK,M,46,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1214,1513,Possess 2.5g-10g
18333382,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1250,411,Possess 2.5g-10g
18333569,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,1322,621,Possess <2.5g
18333427,BLK,M,39,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1326,2233,Possess 2.5g-10g
18333398,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1345,1422,Possess 2.5g-10g
18333446,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1420,2313,Possess 2.5g-10g
18333467,BLK,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1543,1134,Possess 2.5g-10g
18333502,BLK,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1602,712,Possess 2.5g-10g
18333558,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1740,621,Possess 2.5g-10g
18333641,BLK,M,44,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1848,1822,Possess 2.5g-10g
18333635,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1914,621,Possess 2.5g-10g
18333647,BLK,M,47,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1915,313,Possess 2.5g-10g
18333660,BLK,M,38,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1925,1112,Possess 2.5g-10g
18333640,WHI,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,1940,2311,Possess <2.5g
18333659,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,1940,1513,Possess 2.5g-10g
18333899,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2030,714,Possess 2.5g-10g
18333734,BLK,F,38,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2045,2234,Possess 2.5g-10g
18333793,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,2135,612,Possess <2.5g
18333769,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,2140,914,Possess <2.5g
18333764,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,2200,2515,Possess <2.5g
18333883,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Feb-12,2202,2113,Possess <2.5g
18333786,BLK,F,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2205,1532,Possess 2.5g-10g
18333808,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2245,1122,Possess 2.5g-10g
18333862,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2318,511,Possess 2.5g-10g
18333857,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2320,1132,Possess 2.5g-10g
18333873,BLK,M,50,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Feb-12,2340,312,Possess 2.5g-10g
18333878,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,10,1135,Possess <2.5g
18333898,BLK,M,40,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Feb-12,10,1135,Possess 2.5g-10g
18333885,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Feb-12,15,612,Possess 2.5g-10g
18334125,WWH,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,1000,1412,Possess <2.5g
18334128,WWH,M,33,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,1000,1412,Possess <2.5g
18334137,BLK,M,28,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,1040,832,Possess <2.5g
18334148,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,1100,2313,Possess <2.5g
18334146,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Feb-12,1120,825,Possess 2.5g-10g
18334155,BLK,M,30,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,1130,2311,Possess <2.5g
18334163,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Feb-12,1158,735,Possess <2.5g
18334198,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Feb-12,1245,333,Possess 2.5g-10g
